CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
4089003012,48.77142857142858,44110.590054898654,3898.1923828125,408900,4089003,3012,0.0,,0.0
1862032002,56.3,44395.08840460525,4677.0771484375,186203,1862032,2002,0.0,,0.0
4003045000,49.22340425531914,44561.68910156249,3931.923095703125,400304,4003045,5000,0.0,,0.0
8001041034,1.630317555422409,43252.43025254039,6599.015380859375,800104,8001041,1034,3.70629113e-07,35911.12966473737,0.919027558580901
4008013002,56.11494252873565,44309.958030523245,3790.0,400801,4008013,3002,0.0,,0.0
1439022009,31.95744680851066,43156.411486037236,6009.4228515625,143902,1439022,2009,0.0,,0.0
4638003001,41.43103448275863,43373.39924568966,6024.115234375,463800,4638003,3001,0.0,,0.0
4635002000,54.71637426900582,43722.57426609849,3285.7884521484375,463500,4635002,2000,0.0,,0.0
4002051040,34.97402597402599,43731.12868430397,4730.9228515625,400205,4002051,1040,0.0,,0.0
8003252008,27.62686567164179,44213.261252332086,4745.884765625,800325,8003252,2008,0.0,,0.0
1375041008,6.669227076332205,44015.39127385391,5952.922964242789,137504,1375041,1008,1.48193407e-07,16871.96226431926,0.80156962994523
8003351011,29.788203753351205,44552.90217618971,4979.0576171875,800335,8003351,1011,5.57704925e-07,28728.444545051432,0.166555109326194
1816001001,35.399999999999984,43734.9916294643,4799.34619140625,181600,1816001,1001,3.38796338e-07,14828.194395285944,0.118040145676294
4043013016,55.2,44475.81671262257,3140.076904296875,404301,4043013,3016,0.0,,0.0
4309021019,65.94117647058823,44819.17724609376,3709.230712890625,430902,4309021,1019,0.0,,0.0
8001012021,19.766233766233764,43451.15101207385,5897.0771484375,800101,8001012,2021,6.72717536e-07,17796.035433422596,0.386770480362563
4011011007,51.00000000000001,43741.8217075893,3821.6923828125,401101,4011011,1007,0.0,,0.0
4312001003,52.55882352941176,45184.65328125,4288.884765625,431200,4312001,1003,0.0,,0.0
4046001024,17.414314516129043,44354.73587529272,3859.160237630208,404600,4046001,1024,6.92630282e-07,144592.9278032294,0.375224469369131
1861003006,55.592592592592595,43909.60748487903,3975.6538085937505,186100,1861003,3006,0.0,,0.0
1439012006,55.69599999999999,44405.683396796216,6010.1923828125,143901,1439012,2006,0.0,,0.0
1861003002,55.54117647058823,43825.881823575946,3875.384521484375,186100,1861003,3002,0.0,,0.0
4313003002,56.62500000000001,44737.944661458336,3471.1923828125,431300,4313003,3002,0.0,,0.0
3021025006,58.714285714285715,43599.1890625,4086.269287109375,302102,3021025,5006,0.0,,0.0
4044013011,50.82500000000001,45189.206054687485,3323.230712890625,404401,4044013,3011,0.0,,0.0
4317012000,52.41269841269842,44486.31292229729,4248.53857421875,431701,4317012,2000,0.0,,0.0
4640001012,45.80555555555556,43577.29644097224,5962.3076171875,464000,4640001,1012,0.0,,0.0
4013111004,48.581395348837205,44517.21946022727,4724.9228515625,401311,4013111,1004,0.0,,0.0
4002062034,45.79166666666667,43475.03547512754,4233.73095703125,400206,4002062,2034,0.0,,0.0
4042032006,59.204081632653065,45045.76457698171,3668.4614257812495,404203,4042032,2006,0.0,,0.0
1883001007,62.833333333333336,44205.02868303571,3405.076904296875,188300,1883001,1007,0.0,,0.0
1437001006,28.613636363636363,43787.849392361095,5397.03857421875,143700,1437001,1006,7.89691414e-07,33113.976904873474,0.119375437973134
9800091046,74.41176470588239,43462.65858422258,6076.5,980009,9800091,1046,0.0,,0.0
1831041001,42.102040816326515,43817.88867187499,5316.5,183104,1831041,1001,0.0,,0.0
9304001010,0.439263358432368,43215.13429671133,6921.746550731171,930400,9304001,1010,1.8761152e-08,14766.415484988029,0.979507276918289
2621002020,30.106382978723403,43112.336453419804,6772.115234375,262100,2621002,2020,0.0,,0.0
